βλέπει	6
λόγων	6
φωτιάς	6
δίπλα	6
χαίρε	6
πολλούς	6
αρχή	6
πρώτος	6
πόνο	6
παν	6
ελένη	6
θυσίες	6
πλάι	6
αίλινο	6
πλούτη	6
τούτη	6
εκείνων	6
νάχη	6
στης	6
πρώτο	6
μάθη	6
πόχει	6
ήλιου	6
ιδής	6
χώρια	6
στασιμο	6
δίχτυ	6
σκλαβιά	6
τρέμω	6
άδικο	6
γυιός	6
ξένη	6
κάποιο	6
έγνοια	6
αλλιώς	6
πρι	6
τέτοιο	6
διπλά	6
κλαίω	6
μάθω	6
μές	6
τόσα	6
ερινύων	6
όνομα	6
ερινύα	6
θανάτου	6
δίχτυα	6
ώρα	6
φίλος	6
ψάλλει	6
γω	6
ακόμα	6
μέρους	6
πόσα	6
πού	6
λίγο	6
είχες	6
θέλης	6
πόδια	6
έκαμα	6
λύσσα	6
θάνατον	6
γενιά	6
ακούς	6
πατρός	6
οποίος	6
χη	6
αντίκρυ	6
ημπορούσε	6
αληθινά	6
νομίζω	6
είχεν	6
απολύτως	6
κάμουν	6
ίδιοι	6
καλλιέργειαν	6
αποκτήση	6
διδάξουν	6
απεναντίας	6
αρχήν	6
είμεθα	6
αρετήν	6
έλεγα	6
μεγάλην	6
επιθυμίαν	6
εκείνον	6
διδαχθή	6
άλλην	6
μολαταύτα	6
απήντησε	6
φρονείς	6
γνώσιν	6
προηγουμένως	6
μέσου	6
πραγμάτων	6
αγαθών	6
νομίζεις	6
πάντων	6
νουν	6
ολιγώτερα	6
ευρίσκεται	6
σοβαρά	6
καλούς	6
μητέρα	6
πρώτον	5
κλυταιμνήστρα	5
χαράν	5
όστις	5
αποτελεί	5
ζητώ	5
γυναίκας	5
στέκει	5
άργος	5
κλίνη	5
αφέντης	5
τάλλα	5
βώδι	5
πριάμου	5
όπλα	5
αμάχη	5
καιρός	5
στείλη	5
στέλλει	5
ελλήνων	5
δάκρυα	5
θυσίας	5
μπορείς	5
ακούω	5
ελπίδα	5
νικά	5
μόνο	5
όξω	5
ουδ	5
κατόπιν	5
τιμά	5
κάνει	5
κυβερνά	5
γοργά	5
ύστερα	5
πύργος	5
μάννας	5
φλόγα	5
τρανή	5
λάμψη	5
νέα	5
τέτοιες	5
σήμερα	5
αγάπη	5
λάχη	5
άλλου	5
πύλη	5
κείνοι	5
έν	5
ήταν	5
φλόγες	5
νάναι	5
νεκρό	5
πάνε	5
κέρδος	5
λόγοι	5
σώση	5
ωραία	5
γλυτώση	5
όλον	5
κοινό	5
εχθροί	5
έτς	5
δίκια	5
πάω	5
μηδέ	5
εικόνα	5
νερό	5
δόξα	5
δώρο	5
ντροπή	5
ευχές	5
κάμε	5
φρένα	5
σκλαβιάς	5
εμέ	5
θαρρώ	5
βγη	5
βγάλη	5
κακών	5
κανένας	5
δειλός	5
εκδικητής	5
ωιμένα	5
κλάψω	5
κάνουν	5
ήλθε	5
δαίμονα	5
γυναίκες	5
γιατ	5
καλέ	5
αυτουνού	5
χωριστά	5
πλάτων	5
κυρίως	5
τοιουτοτρόπως	5
παντός	5
αντιγόνης	5
θρήνους	5
έχετε	5
αγάλματα	5
θεέ	5
εφτά	5
ψυχής	5
ιδώ	5
θέλετε	5
οιδίπου	5
πληρώση	5
ευθυδημος	5
τούτου	5
σωκράτους	5
γενικώς	5
φιλοσοφίαν	5
φιλοσοφίας	5
μεταχειρίζονται	5
νεαρόν	5
ερωτάς	5
δηλαδή	5
αγαπητέ	5
μαθήματα	5
δύσκολον	5
χρειάζεται	5
διδάσκαλοι	5
ερωτώ	5
διδάξετε	5
αρετής	5
ερωτήσεις	5
ερωτούν	5
φυσικά	5
λέξιν	5
ερώτησιν	5
μανθάνω	5
αυτάς	5
φανερόν	5
ποία	5
θεόν	5
ηξεύρω	5
παρέχει	5
πιστεύεις	5
επιθυμείτε	5
λέγη	5
αδύνατον	5
ημπορώ	5
αποκριθής	5
χρυσός	5
παραδίδουν	5
πολιτική	5
αγαθόν	5
επρόκειτο	5
θεωρούνται	5
λόγου	5
χαιρέδημος	5
ωμολόγησα	5
επιβαρύνει	5
βιβλίου	4
αισχυλου	4
αγαμέμνονος	4
αρχής	4
οποίου	4
σκηνή	4
εννοείται	4
χρόνο	4
στέγη	4
χειμώνα	4
παλατιού	4
χαράς	4
δείξη	4
νάρθη	4
νοιώση	4
θρόνο	4
διπλό	4
στήθια	4
θάρθη	4
γέρος	4
πόδι	4
παντού	4
γλυκειά	4
μπορώ	4
δρόμου	4
στρατηγοί	4
πολέμου	4
βασιλιάδες	4
άμα	4
είδε	4
τροίας	4
παιάνα	4
μεγάλος	4
κόσμο	4
γιατρειά	4
κρατούν	4
ζυγό	4
ύστερ	4
βία	4
σιωπάς	4
παρμένη	4
περνά	4
καινούργια	4
κατόπι	4
μάχη	4
καμμιά	4
πόσο	4
γυρισμό	4
ακούση	4
στολίδια	4
μήτε	4
έργα	4
κρίνης	4
αφήση	4
μονάχα	4
βλάβη	4
ακούει	4
πάρης	4
φίλου	4
φέρνοντας	4
ζη	4
όσους	4
στάχτη	4
κρατάει	4
γιομάτος	4
φήμη	4
προσταγή	4
φάνηκε	4
πατρικής	4
πατρίδα	4
πατρικό	4
αρρώστεια	4
συχνά	4
ρούχα	4
χάρο	4
περάση	4
ζωντανός	4
επήρε	4
τόχει	4
άφησε	4
ερωτήσω	4
ψέμμα	4
στόλο	4
καράβι	4
σωστό	4
κόσμον	4
πληγή	4
ολέθρου	4
ύμνο	4
θάλασσα	4
βγήκε	4
ρίξη	4
κυνηγοί	4
ψυχές	4
ετοιμάζει	4
συμφοράς	4
ιδέα	4
έφερε	4
καινούργιο	4
γυρνάει	4
πολλοί	4
έτοιμος	4
αιτία	4
μιας	4
λαός	4
δουλειά	4
πήρε	4
πορφύρες	4
ευτυχής	4
σπιτιού	4
θρήνο	4
σαι	4
χάνω	4
μέση	4
φωνάζει	4
μακριά	4
κάνεις	4
χυμένο	4
πεθάνω	4
δεινά	4
γρήγορα	4
αρχαίων	4
κακιά	4
θρήνος	4
χρησμοί	4
αλλοίμονό	4
λένε	4
άδη	4
αύτη	4
εχθρού	4
δίκαια	4
μεγάλα	4
τέλεια	4
σωστόν	4
τούτον	4
κει	4
πάη	4
βλέπεις	4
προσπαθήσω	4
πολύς	4
εκδόσεων	4
συστηματικά	4
ελληνική	4
σύγχρονη	4
κλπ	4
γρυπάρη	4
δια	4
αδελφών	4
πολιτείας	4
πλήθος	4
άρη	4
καδμείων	4
κάδμου	4
δόρυ	4
τρεις	4
αντρών	4
πόλης	4
ακούτε	4
κάνης	4
τρομάρα	4
κάποιου	4
ημιχοριο	4
όνομά	4
γέννησε	4
ξένος	4
θέλη	4
γενεά	4
λάβη	4
φιλοσόφους	4
διονυσοδώρου	4
ήθελα	4
ακούσω	4
ημπορή	4
ίσα	4
επιθυμώ	4
κόννον	4
ημπορούσα	4
ήκουσα	4
μεγαλυτέραν	4
προσοχήν	4
έξαφνα	4
ενώπιον	4
ενθυμούμαι	4
τοιαύτη	4
περιπτώσει	4
κάμετε	4
πεπεισμένος	4
αλκιβιάδου	4
στιγμήν	4
απορίαν	4
εμανθάνετε	4
ήσασθε	4
ερωτά	4
γέλοια	4
ειπέ	4
συζητήσεως	4
ημπορείς	4
ορθήν	4
σημασίαν	4
καλύτερον	4
έστω	4
γίνωμεν	4
ηρώτησε	4
επιτυχίαν	4
σοφόν	4
αναμφιβόλως	4
ποίαν	4
παρεδέχθημεν	4
ωφελούσαν	4
κάμωμεν	4
ωφέλειαν	4
μεταχειρίζεται	4
κακήν	4
περισσότερα	4
αξίαν	4
παραδέχομαι	4
απάντησιν	4
θαυμάσια	4
μία	4
κακούς	4
λέγης	4
καθένα	4
ηξεύρεις	4
απαντήσης	4
απάντησέ	4
λάθος	4
ημείς	4
όψιν	4
χρυσόν	4
ούτως	4
πολιτικής	4
δύναμιν	4
απεκρίθην	4
απαντήσω	4
εγνώριζες	4
αγαθοί	4
άδικοι	4
ηρακλέους	4
πηγαίνη	4
μονοτονικό	3
ορθογραφία	3
μεταφραστής	3
μέρη	3
κειμένου	3
μεταφρασις	3
γρυπαρη	3
τριλογίας	3
τύχην	3
ευτυχίαν	3
χορού	3
ιδίαν	3
πνεύμα	3
νεκρών	3
ταύτης	3
ατρειδών	3
άρχοντες	3
φλόγας	3
ύπνος	3
πάρουν	3
χορούς	3
χάρι	3
ευθύς	3
πόλι	3
καλήν	3
έχουνε	3
απόλλωνας	3
γρικόντας	3
πικρά	3
σκούζουν	3
ατρέα	3
σφαχτά	3
μόνου	3
σκήπτρα	3
αξίζουν	3
στερνά	3
